x; y
0.0029385542313181915;64083363406712376
0.008239945946594275;19577769758210030
0.01809109917920383;10068567304222302
0.02632904610931422;7434139299891735
0.03785937318839131;7434139299891735
0.05136272953706777;8949837603753157
0.06336482450634288;13794658967881630
0.07766978646505919;24043666546373148
0.08916613026391017;41302778780223740
0.09632660730920388;69054492962829300
0.10024467961762813;111485023457235650
0.1008483825957629;147221219776254050
0.1008483825957629;176849512811259460
0.101935847562999;207713821725009000
0.10438264373928029;244631901840490780
0.107257229443114;270849873691808000
0.10966004725674969;307127390833634050
0.11113931945482823;332894261999278200
0.1132302906969771;357199566943341700
0.11520931701602811;325009022013713400
0.11562711146116111;284716708769397300
0.11636674756020039;248024178996752060
0.11742222826369426;208435582822085900
0.11818185452757245;169451461566221570
0.11947921622561701;131874774449657150
0.12185204879199435;90887766149404540
0.12435081939685676;56495849873691800
0.1281509497327315;28644893540238180
0.13296058339297068;11259473114399132
0.14441694686214385;1930710934680620.5
0.1547638561827581;-938289426199927.8
0.16558453241005427;-2011909058101768.2
0.17741471196171485;-1434500180440274.2
0.18791554555158863;−811981234211476
0.198732223745917;2219415373511367.5
0.21043246722612477;2932154456874774
0.2223106231733987;6847708408516780
0.2331852728457599;14985564778058462
0.2427325755728182;23466257668711656
0.25203000123939023;34139299891735830
0.25948233469133186;49756405629736550
0.2652115159341604;64859256586070010
0.2679161852368635;90166005052327680
0.2689836600392607;121968603392277150
0.269323492841522;160979790689281820
0.26969331089104165;197753518585348220
0.2730136772707828;229186214363045820
0.275752329853712;263307470227354720
0.27788927847499034;298763984121255900
0.2790846903323565;326254059906171000
0.28159345601963837;359130277878022340
0.28320466330565364;331865752435943700
0.2845000259872143;294442439552508100
0.28481187255870116;260014435221941500
0.2857933896522911;227345723565499800
0.28649904247110425;187179718513172130
0.2877404317075999;150830025261638400
0.2891657304606134;111963190184049070
0.2920043338677371;69460483579935040
0.29490890481882914;36412847347527970
0.2994506702702271;15743413929989172
0.30531378561747624;3293035005413208
0.3193788655981257;-1154817755322988
0.3321885632268924;-965355467340310.2
0.34586783302615115;-63154095994225.91
0.35480143769265526;-676651028509563.2
0.36381500301851494;-144352219415373.5
0.37273661358611565;1100685673042223
0.38005901096660444;2345723565499819.5
0.38722148702838205;9012991699747382
0.3953135057551685;13560086611331648
0.40490278782838846;18314687838325510
0.41297681540681985;25694695055936484
0.4213267072600281;36331649224106820
0.42886899645374477;48610609888127020
0.43379657208653344;66311800793937200
0.4369270319003051;94640923854204260
0.4381664221203168;141528329123060260
0.4381664221203168;177508119812342100
0.4397416471096221;206035727174305280
0.4420824954122572;239245759653554660
0.44434738108850447;269198845182244640
0.44640237003394334;310546734031035700
0.44887315440803127;340734391916275700
0.4521455443921591;361539155539516400
0.45294715000219893;316302778780223740
0.4536168205243021;277535185853482460
0.4542924880958569;210826416456153000
0.45416455104088793;240905810176831460
0.45561983504115977;154926019487549600
0.4574589302063385;113217250090220130
0.46066335363001404;62892457596535544
0.46539102761441375;25198484301696136
0.47229363153328563;5765066762901479
0.48301035890341953;-1930710934680620.5
0.49262163015796234;-2499097798628653.5
