x; y
5.8118626482417675e-8;30783345095271700
1.7419053484844104e-7;35172900494001410
2.8614949631901593e-7;39336626676076216
4.2063665937772565e-7;46436132674664780
5.42743645600387e-7;55521053869677720
6.380441387406529e-7;65139967066572570
7.252220784642795e-7;77217125382262990
7.923106494322481e-7;89235474006116210
8.430094370429773e-7;99920018819101380
8.889132312881586e-7;110858621500823330
9.274385228113543e-7;120891554928252180
9.702627739036622e-7;128762644083745000
9.702627739036622e-7;128762644083745000
9.971519392854634e-7;122413549752999300
0.000001008085350881907;110693954363679140
0.0000010132730376696334;99171959538932020
0.000001020403523493401;86981886614914130
0.0000010288567661076643;74081392613502700
0.0000010492354879112433;52848741472594680
0.0000010679400956518506;34650670430486944
0.000001103055154824549;18844977652317100
0.0000011390176050661586;8729710656316161
0.0000012396917976678147;2961656080922136
0.0000013786846010441513;5968007527640555
0.0000014490180597638054;22074805928016936
0.0000014632170271867859;44688308633262760
0.0000014674746506061949;63481533756763110
0.0000014763825908671914;71394965890378730
0.0000015108362716446416;78816749000235230
0.0000015553139687250693;87318278052223000
0.0000016117171449948126;98513290990355200
0.0000016591710448538564;109934133145142320
0.0000017125566821952804;120804516584333090
0.0000017502139145747132;129604798870853900
0.0000017779918071751291;115925664549517760
0.000001795394326200092;97421783109856500
0.0000018105026889165384;71961891319689480
0.0000018332789074028913;46633733239237820
0.000001868869332297174;24384850623382732
0.000001928972093965336;7221830157609974
0.000002073937970973756;2027758174547165.2
0.0000022086111467061293;11790167019524818
0.000002234735593318425;32218301576099740
0.0000022440568950764513;48946130322277110
0.000002249657943361208;66661961891319690
0.0000022972565197442124;78882615855092910
0.0000023735837201708015;93479181369089620
0.000002434182515635399;108675605739825920
0.0000024852119924437523;121336156198541520
0.0000025303717359942795;129861209127264160
0.0000025635646642057884;104932956951305570
0.0000025806158259582755;75485768054575400
0.0000026139327626188936;43401552575864504
0.0000026646728863793257;17266525523406256
0.0000027580099124086994;3650905669254293
0.0000029213290398852514;4457774641260879.5
0.0000030149554189625456;30261115031757230
0.0000030211351733431442;53813220418725000
0.0000030236153423253243;70063514467184190
0.0000030812586030861576;81152669960009400
0.0000031574617950636374;95786873676781940
0.0000032283326237294304;111700776287932240
0.000003274277754124315;123443895553987300
0.0000033048251687548316;129640084685956240
0.0000033363646509782204;107753469771818380
0.000003354056523051104;87188896730181140
0.0000033747659340523074;55575158786167960
0.0000034029985242994562;35683368619148436
0.0000034489643227691918;14521289108445072
0.0000035277510241031095;3667372382968713
0.000003678359285545989;3427428840272877
0.000003779198822746457;18529757704069628
0.000003794699878885082;40976240884497760
0.0000037993915318763723;59835332862855800
0.0000038072660683947937;73726182074805920
0.000003905687440837637;89571865443425070
0.000003975834886883627;105172900494001400
0.000004036309673899116;120479887085391660
0.000004082585493491624;129341331451423180
0.000004120821431966898;104029640084685950
0.000004131506826665124;79251940719830620
0.0000041528156118370204;54410726887791100
0.000004183053005344765;30362267701717240
0.000004247578735031147;9741237355916254
0.000004425448187203155;2575864502470007
0.000004563634935660283;25095271700776290
0.000004575829099822669;57158315690425780
0.000004579673361745047;68920254057868740
0.000004673279072747491;87127734650670430
0.000004769158271983598;109487179487179490
0.000004858816380689405;129840037638202770
0.000004887917030080317;109402493530933890
0.000004907882390386866;84215478710891550
0.000004938553813466491;46939543636791340
0.0000049946469686134625;17833450952717008
